direction	pathway	total_raw_delta	mean_partner_raw_delta	mean_delta_per_LR	total_threshold_delta	threshold_distortion
Outgoing_CD4_to_partner	NGL	0	0	0	0	0
Outgoing_CD4_to_partner	NMU	0	0	0	0	0
Outgoing_CD4_to_partner	NODAL	0	0	0	0	0
Outgoing_CD4_to_partner	NOTCH	0	0	0	0	0
Outgoing_CD4_to_partner	NPFF	0	0	0	0	0
Outgoing_CD4_to_partner	NPNT	0	0	0	0	0
Outgoing_CD4_to_partner	NPR1	0	0	0	0	0
Outgoing_CD4_to_partner	NPR2	0	0	0	0	0
Outgoing_CD4_to_partner	NPVF	0	0	0	0	0
Outgoing_CD4_to_partner	NPW-B	0	0	0	0	0
Outgoing_CD4_to_partner	NPY	0	0	0	0	0
Outgoing_CD4_to_partner	NRG	0	0	0	0	0
Outgoing_CD4_to_partner	NRXN	0	0	0	0	0
Outgoing_CD4_to_partner	NT	0	0	0	0	0
Outgoing_CD4_to_partner	NTS	0	0	0	0	0
Outgoing_CD4_to_partner	Netrin	0	0	0	0	0
Outgoing_CD4_to_partner	OPIOID	0	0	0	0	0
Outgoing_CD4_to_partner	OSM	0	0	0	0	0
Outgoing_CD4_to_partner	OX40	0	0	0	0	0
Outgoing_CD4_to_partner	OXT	0	0	0	0	0
Outgoing_CD4_to_partner	PARs	-0.0614607041871828	-0.00878010059816897	-0.000302762089592033	-0.0614607041871828	0
Outgoing_CD4_to_partner	PCDH	0	0	0	0	0
Outgoing_CD4_to_partner	PD-L1	0	0	0	0	0
Outgoing_CD4_to_partner	PDGF	0	0	0	0	0
Outgoing_CD4_to_partner	PDL2	0	0	0	0	0
Outgoing_CD4_to_partner	PERIOSTIN	0	0	0	0	0
Outgoing_CD4_to_partner	PLAU	0	0	0	0	0
Outgoing_CD4_to_partner	PMCH	0	0	0	0	0
Outgoing_CD4_to_partner	PRL	0	0	0	0	0
Outgoing_CD4_to_partner	PROC	0	0	0	0	0
Outgoing_CD4_to_partner	PROCR	0	0	0	0	0
Outgoing_CD4_to_partner	PROK	0	0	0	0	0
Outgoing_CD4_to_partner	PROS	0	0	0	0	0
Outgoing_CD4_to_partner	PSAP	0	0	0	0	0
Outgoing_CD4_to_partner	PTH	0	0	0	0	0
Outgoing_CD4_to_partner	PTN	0	0	0	0	0
Outgoing_CD4_to_partner	PTPR	0	0	0	0	0
Outgoing_CD4_to_partner	PTPRM	0	0	0	0	0
Outgoing_CD4_to_partner	PVR	0	0	0	0	0
Outgoing_CD4_to_partner	QRFP	0	0	0	0	0
Outgoing_CD4_to_partner	RANKL	0	0	0	0	0
Outgoing_CD4_to_partner	RBP4	0	0	0	0	0
Outgoing_CD4_to_partner	RELN	0	0	0	0	0
Outgoing_CD4_to_partner	RESISTIN	0	0	0	0	0
Outgoing_CD4_to_partner	RLN	0	0	0	0	0
Outgoing_CD4_to_partner	SAA	0	0	0	0	0
Outgoing_CD4_to_partner	SCT	0	0	0	0	0
Outgoing_CD4_to_partner	SELE	0	0	0	0	0
Outgoing_CD4_to_partner	SELL	0	0	0	0	0
Outgoing_CD4_to_partner	SELPLG	0.101233647352199	0.0144619496217427	0.00482064987391422	0.127063348066393	0.0258297007141942
Outgoing_CD4_to_partner	SEMA3	0	0	0	0	0
Outgoing_CD4_to_partner	SEMA4	-0.0772020620252469	-0.0110288660036067	-0.000848374307969746	-0.0772020620252469	0
Outgoing_CD4_to_partner	SEMA5	0	0	0	0	0
Outgoing_CD4_to_partner	SEMA6	0	0	0	0	0
Outgoing_CD4_to_partner	SEMA7	0	0	0	0	0
