gene	set1	set2	set3	set4	mean_lfc	n_pos	consistent	detect
TOMM6	0.25632716810195094	0.7226224043741402	0.49524884106321254	0.7438387103977677	0.5545092809842678	4	True	0.18764167576190077
RRP9	0.3483764563927239	0.619213781411629	0.5518610905172946	0.6965839483364239	0.5540088191645178	4	True	0.07861473640941322
TIMM13	0.1693683109729775	0.8611419687047768	0.4991801794394926	0.6840045046941307	0.5534237409528444	4	True	0.10975233788922002
CCDC124	0.3689597103599411	0.8048491884474641	0.4508805060028608	0.5877553215635463	0.5531111815934531	4	True	0.09310721182100579
MRPL36	0.1761176342281914	0.674825385858886	0.3895700797584103	0.9644841135305003	0.551249303343997	4	True	0.06761894974822731
EEF2	0.4048028924464841	0.5955249383313935	0.4785641317880646	0.7240998898879194	0.5507479631134654	4	True	0.42112835268728804
FAM174C	0.1313823277331673	0.6943059519134883	0.5706037308165312	0.8018916514613832	0.5495459154811424	4	True	0.09109226765175048
RBM8A	0.29248141674364914	0.6662904775297835	0.6017945655941087	0.6339909317932412	0.5486393479151956	4	True	0.37673414859726645
TRAPPC2L	0.29225806351339123	0.7317126015024318	0.4262525625184477	0.7382313098947398	0.5471136343572527	4	True	0.05054151624548736
PUF60	0.1489139496658037	0.7239840770691399	0.5612819496030015	0.7431912289971528	0.5443428013337744	4	True	0.12836873478297373
PDCD5	0.25703490898914455	0.8007364076273753	0.5094152668342078	0.6068202842740289	0.5435017169311891	4	True	0.1829401393669717
MRPL17	0.2878314728445322	0.7522288928267217	0.4621141845222804	0.6715345461301766	0.5434272740809277	4	True	0.09022710923851608
NPM1	0.26192988039787385	0.7721971261445468	0.4935947301205173	0.6419776683126625	0.5424248512439	4	True	0.7315794882334806
C1QBP	0.26461644510096005	0.8420723916755778	0.4202352460990334	0.642625448348301	0.5423873828059681	4	True	0.30962902065563663
PTMA	0.3023029863587042	0.6912795541185908	0.4902347680188969	0.6790713135444607	0.5407221555101631	4	True	0.8646593361422259
H2AZ1	0.2953932341707608	0.8215363742157825	0.44871347340732376	0.5919792305051003	0.5394055780747418	4	True	0.25177268523276125
HSD17B10	0.2334517384211226	0.7504124651852652	0.41577613881259035	0.7577397793449382	0.5393450304409791	4	True	0.08323913266879046
TIMM8A	0.1342988849015606	0.7353296470965471	0.5174657558383974	0.766530578901526	0.5384062166845078	4	True	0.05652039872572192
RPS19BP1	0.24909501321145827	0.8005124540346205	0.4924900058044999	0.611224487046977	0.5383304900243888	4	True	0.129544118881706
FKBP1A	0.3385425549599968	0.8537720563008953	0.48098544045965713	0.4785682002582912	0.5379670629947101	4	True	0.12752917471245068
S100A11	0.4513794229111119	0.5884888953699776	0.47664423306159914	0.6287859888299728	0.5363246350431654	4	True	0.08529930316514146
FBL	0.3232835575190603	0.7418131481352351	0.4397145100549812	0.6359426338995073	0.5351884624021961	4	True	0.22073784811427397
RPL35	0.2510382233135981	0.7489500869176408	0.48421213406116365	0.6564510389704008	0.5351628708157008	4	True	0.6307614809839645
PHB2	0.25350322942457754	0.8282112511172253	0.48143932534867134	0.5729354238454605	0.5340223074339836	4	True	0.21570239440961875
