direction	partner	pathway	n_LR	raw_sum_hi	raw_sum_lo	raw_delta_sum	raw_delta_mean	n_sig_hi	n_sig_lo
Incoming_partner_to_CD4	B	ENHO	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GAS	3	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GCG	3	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GHRH	4	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GNRH	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GRN	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GUCA	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	RLN	16	0	0	0	0	0	0
Incoming_partner_to_CD4	B	LEP	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GALECTIN	5	0.207730846621301	0.207024039257145	0.000706807364155487	0.000141361472831097	4	4
Incoming_partner_to_CD4	B	NPVF	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	PROS	3	0	0	0	0	0	0
Incoming_partner_to_CD4	B	PSAP	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	PTH	3	0	0	0	0	0	0
Incoming_partner_to_CD4	B	QRFP	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	CHEMERIN	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	SAA	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	UGRP1	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	SCT	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	SLURP	16	0	0	0	0	0	0
Incoming_partner_to_CD4	B	BTLA	1	0.00751985177966206	0.00751329347304838	6.55830661368002e-06	6.55830661368002e-06	1	1
Incoming_partner_to_CD4	B	TRH	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	UCN	4	0	0	0	0	0	0
Incoming_partner_to_CD4	B	UROTENSIN	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	BAG	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	KLK	12	0	0	0	0	0	0
Incoming_partner_to_CD4	B	ADM	6	0	0	0	0	0	0
Incoming_partner_to_CD4	B	CALC	12	0	0	0	0	0	0
Incoming_partner_to_CD4	B	IAPP	6	0	0	0	0	0	0
Incoming_partner_to_CD4	B	PROCR	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	CTSG	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GRP	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	PTPR	11	0	0	0	0	0	0
Incoming_partner_to_CD4	B	SLITRK	8	0	0	0	0	0	0
Incoming_partner_to_CD4	B	IGFBP	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	CypA	1	0.0901906738268028	0.0887375731848738	0.001453100641929	0.001453100641929	0	0
Incoming_partner_to_CD4	B	PROC	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	MHC-I	41	2.02139168144411	2.2930805096703	-0.271688828226184	-0.00662655678600448	7	7
Incoming_partner_to_CD4	B	RBP4	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	SLIT	3	0	0	0	0	0	0
Incoming_partner_to_CD4	B	TULP	5	0	0	0	0	0	0
